6.20E+01	4.44E+05	3.95E+04	0.0889
9.80E+01	4.58E+05	3.44E+04	0.075
1.56E+02	4.65E+05	2.83E+04	0.0608
2.47E+02	4.71E+05	2.74E+04	0.0583
3.91E+02	4.80E+05	2.89E+04	0.0602
6.20E+02	4.91E+05	3.39E+04	0.0689

1.20E+01	4.03E+05	1.35E+05	0.336
1.90E+01	4.20E+05	8.59E+04	0.204
3.01E+01	4.41E+05	4.72E+04	0.107
4.78E+01	4.63E+05	5.21E+04	0.112
7.57E+01	4.66E+05	4.35E+04	0.0935
1.20E+02	4.71E+05	3.40E+04	0.0723
1.90E+02	4.73E+05	3.15E+04	0.0667
3.01E+02	4.84E+05	3.16E+04	0.0652
4.78E+02	4.92E+05	3.45E+04	0.0701
7.57E+02	5.04E+05	4.07E+04	0.0807
1.20E+03	5.23E+05	4.98E+04	0.0951

2.10E+01	4.04E+05	8.76E+04	0.217
3.32E+01	4.51E+05	6.61E+04	0.147
5.27E+01	4.34E+05	5.51E+04	0.127
8.36E+01	4.51E+05	5.28E+04	0.117
1.33E+02	4.73E+05	3.84E+04	0.0811
2.10E+02	4.76E+05	3.32E+04	0.0697
3.32E+02	4.83E+05	3.40E+04	0.0705
5.27E+02	4.89E+05	3.65E+04	0.0746
8.36E+02	5.01E+05	4.22E+04	0.0842
1.33E+03	5.14E+05	5.05E+04	0.0983
2.10E+03	5.36E+05	6.26E+04	0.117

4.00E+01	4.35E+05	9.34E+04	0.215
6.32E+01	4.35E+05	6.66E+04	0.153
1.00E+02	4.40E+05	5.01E+04	0.114
1.59E+02	4.68E+05	3.79E+04	0.0809
2.52E+02	4.86E+05	3.91E+04	0.0804
4.00E+02	4.84E+05	3.60E+04	0.0743
6.32E+02	4.87E+05	3.99E+04	0.0818
1.00E+03	4.99E+05	4.48E+04	0.0897
1.59E+03	5.12E+05	5.33E+04	0.104
2.52E+03	5.29E+05	6.51E+04	0.123
4.00E+03	5.53E+05	7.99E+04	0.145

8.50E+01	4.38E+05	9.05E+04	0.207
1.34E+02	4.27E+05	7.45E+04	0.174
2.13E+02	4.88E+05	3.79E+04	0.0777
3.38E+02	4.83E+05	4.29E+04	0.0888
5.36E+02	4.89E+05	3.93E+04	0.0803
8.50E+02	4.98E+05	4.40E+04	0.0884
1.34E+03	5.09E+05	5.11E+04	0.1
2.13E+03	5.22E+05	5.95E+04	0.114
3.38E+03	5.39E+05	7.16E+04	0.133
5.36E+03	5.61E+05	8.72E+04	0.155
8.50E+03	5.91E+05	1.08E+05	0.183

2.00E+02	4.57E+05	9.37E+04	0.205
3.16E+02	4.76E+05	5.71E+04	0.12
5.02E+02	4.91E+05	4.29E+04	0.0875
7.96E+02	5.04E+05	4.93E+04	0.0979
1.26E+03	5.07E+05	4.89E+04	0.0966
2.00E+03	5.17E+05	5.70E+04	0.11
3.16E+03	5.31E+05	6.50E+04	0.122
5.02E+03	5.49E+05	7.89E+04	0.144
7.96E+03	5.70E+05	9.60E+04	0.168
1.26E+04	5.99E+05	1.18E+05	0.197
2.00E+04	6.36E+05	1.45E+05	0.229

3.60E+02	4.77E+05	6.96E+04	0.146
5.69E+02	4.83E+05	6.83E+04	0.141
9.04E+02	5.20E+05	5.89E+04	0.113
1.43E+03	5.17E+05	5.72E+04	0.111
2.27E+03	5.27E+05	6.30E+04	0.12
3.60E+03	5.43E+05	7.66E+04	0.141
5.69E+03	5.67E+05	9.02E+04	0.159
9.04E+03	5.91E+05	1.09E+05	0.185
1.43E+04	6.19E+05	1.34E+05	0.217
2.27E+04	6.56E+05	1.65E+05	0.252
3.60E+04	7.05E+05	2.07E+05	0.293

9.00E+02	5.03E+05	7.22E+04	0.143
1.42E+03	5.03E+05	6.39E+04	0.127
2.26E+03	5.25E+05	6.03E+04	0.115
3.58E+03	5.44E+05	7.30E+04	0.134
5.68E+03	5.52E+05	9.03E+04	0.163
9.00E+03	5.84E+05	1.07E+05	0.184
1.42E+04	6.08E+05	1.29E+05	0.213
2.26E+04	6.44E+05	1.57E+05	0.245
3.58E+04	6.85E+05	1.96E+05	0.286
5.68E+04	7.39E+05	2.45E+05	0.331
9.00E+04	8.04E+05	3.08E+05	0.383

2.20E+03	5.32E+05	5.69E+04	0.107
3.48E+03	5.38E+05	5.37E+04	0.0999
5.52E+03	5.57E+05	9.22E+04	0.166
8.76E+03	5.68E+05	1.04E+05	0.183
1.39E+04	6.13E+05	1.27E+05	0.208
2.20E+04	6.34E+05	1.59E+05	0.25
3.48E+04	6.78E+05	1.97E+05	0.29
5.52E+04	7.27E+05	2.44E+05	0.335
8.76E+04	7.94E+05	3.08E+05	0.388
1.39E+05	8.68E+05	3.91E+05	0.45
2.20E+05	9.65E+05	5.03E+05	0.522

7.00E+03	5.48E+05	1.22E+05	0.222
